Company,TypeName,OpSys,Resolution_Width,Resolution_Height,Pixels,IPS,Touchscreen,Inches,Weight,Ram,Memory_SSD,Memory_HDD,Memory_Hybrid,Memory_Flash,Gpu_Nvidia,Gpu_AMD,Gpu_Intel,Gpu_ARM,Cpu_Intel,Cpu_AMD,Cpu_Samsung,Cpu_GHz,Price
Apple,Ultrabook,macOS,2560,1600,4096000,1,0,13.3,1.37,8,128,0,0,0,0,0,1,0,1,0,0,2.3,71378.6832
Apple,Ultrabook,macOS,1440,900,1296000,0,0,13.3,1.34,8,0,0,0,128,0,0,1,0,1,0,0,1.8,47895.5232
HP,Notebook,No OS,1920,1080,2073600,0,0,15.6,1.86,8,256,0,0,0,0,0,1,0,1,0,0,2.5,30636.0
Apple,Ultrabook,macOS,2880,1800,5184000,1,0,15.4,1.83,16,512,0,0,0,0,1,0,0,1,0,0,2.7,135195.336
Apple,Ultrabook,macOS,2560,1600,4096000,1,0,13.3,1.37,8,256,0,0,0,0,0,1,0,1,0,0,3.1,96095.808
Acer,Notebook,Windows 10,1366,768,1049088,0,0,15.6,2.1,4,0,500,0,0,0,1,0,0,0,1,0,3.0,21312.0
Apple,Ultrabook,Mac OS X,2880,1800,5184000,1,0,15.4,2.04,16,0,0,0,256,0,0,1,0,1,0,0,2.2,114017.6016
Apple,Ultrabook,macOS,1440,900,1296000,0,0,13.3,1.34,8,0,0,0,256,0,0,1,0,1,0,0,1.8,61735.536
Asus,Ultrabook,Windows 10,1920,1080,2073600,0,0,14.0,1.3,16,512,0,0,0,1,0,0,0,1,0,0,1.8,79653.6
Acer,Ultrabook,Windows 10,1920,1080,2073600,1,0,14.0,1.6,8,256,0,0,0,0,0,1,0,1,0,0,1.6,41025.6
HP,Notebook,No OS,1366,768,1049088,0,0,15.6,1.86,4,0,500,0,0,0,0,1,0,1,0,0,2.5,20986.992
HP,Notebook,No OS,1920,1080,2073600,0,0,15.6,1.86,4,0,500,0,0,0,0,1,0,1,0,0,2.0,18381.0672
Apple,Ultrabook,macOS,2880,1800,5184000,1,0,15.4,1.83,16,256,0,0,0,0,1,0,0,1,0,0,2.8,130001.6016
Dell,Notebook,Windows 10,1920,1080,2073600,0,0,15.6,2.2,4,256,0,0,0,0,1,0,0,1,0,0,2.0,26581.392
Apple,Ultrabook,macOS,2304,1440,3317760,1,0,12.0,0.92,8,256,0,0,0,0,0,1,0,1,0,0,1.2,67260.672
Apple,Ultrabook,macOS,2560,1600,4096000,1,0,13.3,1.37,8,256,0,0,0,0,0,1,0,1,0,0,2.3,80908.344
Dell,Notebook,Windows 10,1920,1080,2073600,0,0,15.6,2.2,8,256,0,0,0,0,1,0,0,1,0,0,2.7,39693.6
Apple,Ultrabook,macOS,2880,1800,5184000,1,0,15.4,1.83,16,512,0,0,0,0,1,0,0,1,0,0,2.9,152274.24
Lenovo,Notebook,No OS,1920,1080,2073600,0,0,15.6,2.2,8,0,1024,0,0,1,0,0,0,1,0,0,2.4,26586.72
Dell,Ultrabook,Windows 10,1920,1080,2073600,1,1,13.3,1.22,8,128,0,0,0,0,0,1,0,1,0,0,1.6,52161.12
Asus,Netbook,Windows 10,1366,768,1049088,0,0,11.6,0.98,2,0,0,0,32,0,0,1,0,1,0,0,1.44,10224.432
Lenovo,Gaming,Windows 10,1920,1080,2073600,1,0,15.6,2.5,8,128,1024,0,0,1,0,0,0,1,0,0,2.5,53226.72
HP,Notebook,No OS,1366,768,1049088,0,0,15.6,1.86,4,0,500,0,0,0,1,0,0,0,1,0,1.5,13746.24
